2022-12-13 20:51:12.281498 [src/ip_input.c:64] - Thread[netdev_rx_loop] Not sup IGMP
2022-12-13 20:51:12.368659 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:12.499790 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:12.541756 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:12.750494 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:12.993366 [src/ip_input.c:64] - Thread[netdev_rx_loop] Not sup IGMP
2022-12-13 20:51:13.001458 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:13.203369 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:13.370149 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:13.721677 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:14.383487 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:15.371285 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:15.901396 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:16.563559 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:17.310743 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 10 pid 72778
2022-12-13 20:51:17.311041 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 10 pid 72778
2022-12-13 20:51:17.311187 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 10 pid 72778
2022-12-13 20:51:17.311345 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 10 pid 72778
2022-12-13 20:51:17.312015 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 10 pid 72778
2022-12-13 20:51:17.312436 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72778
2022-12-13 20:51:17.363211 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72778
2022-12-13 20:51:17.363679 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 10 pid 72778
2022-12-13 20:51:17.364134 [src/ipc.c:173] - Thread[ipc_loop] [IPC] on_recv ipc_close, fd 10 pid 72778
2022-12-13 20:51:17.680153 [src/socket.c:217] - Thread[timers] Socket fd 4097 pid 72778 state 3 sk_state 0 flags 2 poll 4 sport 44651 dport 19999 recv-q 0 send-q 1: 
2022-12-13 20:51:17.680230 [src/timer.c:27] - Thread[timers] TIMERS: Total amount currently 0
2022-12-13 20:51:19.375241 [src/udp.c:167] - Thread[netdev_rx_loop] No UDP socket for sport 5353 dport 5353
2022-12-13 20:51:20.373484 [src/ipc.c:157] - Thread[ipc_loop] [IPC] on_recv ipc_socket, fd 10 pid 72928
2022-12-13 20:51:20.373635 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 10 pid 72928
2022-12-13 20:51:20.373737 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 10 pid 72928
2022-12-13 20:51:20.373819 [src/ipc.c:127] - Thread[ipc_loop] [IPC] on_recv ipc_connect, fd 10 pid 72928
2022-12-13 20:51:20.373902 [src/ipc.c:311] - Thread[ipc_loop] [IPC] on_recv ipc_fcntl, fd 10 pid 72928
2022-12-13 20:51:20.374007 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:20.425064 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:20.425211 [src/ipc.c:87] - Thread[ipc_loop] [IPC] on_recv ipc_write, fd 10 pid 72928
2022-12-13 20:51:20.476387 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:20.476639 [src/ipc.c:56] - Thread[ipc_loop] [IPC] on_recv ipc_read, fd 10 pid 72928
2022-12-13 20:51:20.476959 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:20.578324 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:20.680468 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:20.782059 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:20.882846 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:20.983599 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:21.084922 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
2022-12-13 20:51:21.186109 [src/ipc.c:261] - Thread[ipc_loop] [IPC] on_recv ipc_poll, fd 10 pid 72928
